CustomerID(String),ContactName(String),CompanyName(String),Address(String),Phone(String),Fax(String),OrderID(Integer),ProductID(Integer),ProductName(String),CategoryID(Integer),Quantity(Integer),UnitPrice(Float),OrderDate(DateTime)
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10643,39,Chartreuse verte,1,21,18,09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10702,76,Lakkalikoori,1,15,18,11/13/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10952,28,Rossle Sauerkraut,7,2,"45.6",04/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10643,28,Rossle Sauerkraut,7,15,"45.6",09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10835,77,Original Frankfurter grune Sosse,2,2,13,02/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10692,63,Vegie-spread,2,20,"43.9",11/03/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,11011,71,Flotemysost,4,20,"21.5",05/09/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10835,59,Raclette Courdavault,4,15,55,02/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10952,6,Grandma's Boysenberry Spread,2,16,25,04/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10702,3,Aniseed Syrup,2,6,10,11/13/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,10643,46,Spegesild,8,2,12,09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,Obere Str. 57,030-0074321,030-0076545,11011,58,Escargots de Bourgogne,8,40,"13.25",05/09/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10625,14,Tofu,7,3,"23.25",09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10625,60,Camembert Pierrot,4,10,34,09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10308,69,Gudbrandsdalsost,4,1,"28.8",10/19/1994 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10926,72,Mozzarella di Giovanni,4,10,"34.8",04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10926,19,Teatime Chocolate Biscuits,3,7,"9.2",04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10926,13,Konbu,8,10,6,04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10926,11,Queso Cabrales,4,2,21,04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10625,42,Singaporean Hokkien Fried Mee,5,5,14,09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10759,32,Mascarpone Fabioli,4,10,32,12/29/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,Avda. de la Constitucion 2222,(5) 555-4729,(5) 555-3745,10308,70,Outback Lager,1,5,12,10/19/1994 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10535,59,Raclette Courdavault,4,15,55,06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10535,57,Ravioli Angelo,5,5,"19.5",06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10507,48,Chocolade,3,15,"12.75",05/16/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10677,33,Geitost,4,8,"2.5",10/23/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10365,11,Queso Cabrales,4,24,"16.8",12/28/1994 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10677,26,Gumbar Gummibarchen,3,30,"31.23",10/23/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10573,17,Alice Mutton,6,18,39,07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10573,34,Sasquatch Ale,1,40,14,07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10682,33,Geitost,4,30,"2.5",10/26/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10856,2,Chang,1,20,19,02/28/1996 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10535,40,Boston Crab Meat,8,10,"18.4",06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10535,11,Queso Cabrales,4,50,21,06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10682,66,Louisiana Hot Spiced Okra,2,4,17,10/26/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10507,43,Ipoh Coffee,1,15,46,05/16/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10573,53,Perth Pasties,6,25,"32.8",07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10856,42,Singaporean Hokkien Fried Mee,5,20,14,02/28/1996 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,Mataderos  2312,(5) 555-3932,,10682,75,Rhonbrau Klosterbier,1,30,"7.75",10/26/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10453,48,Chocolade,3,15,"10.2",03/24/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10558,47,Zaanse koeken,3,25,"9.5",07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10558,52,Filo Mix,5,30,7,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10920,50,Valkoinen suklaa,3,24,"16.25",04/02/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10558,53,Perth Pasties,6,18,"32.8",07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,11016,31,Gorgonzola Telino,4,15,"12.5",05/10/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10383,50,Valkoinen suklaa,3,15,13,01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10768,22,Gustaf's Knackebrod,5,4,21,01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10953,31,Gorgonzola Telino,4,50,"12.5",04/15/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10741,2,Chang,1,15,19,12/15/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10383,56,Gnocchi di nonna Alice,5,20,"30.4",01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10768,60,Camembert Pierrot,4,15,34,01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10707,57,Ravioli Angelo,5,40,"19.5",11/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10793,52,Filo Mix,5,8,7,01/24/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10953,20,Sir Rodney's Marmalade,3,50,81,04/15/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10864,67,Laughing Lumberjack Lager,1,15,14,03/04/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10355,57,Ravioli Angelo,5,25,"15.6",12/16/1994 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10864,35,Steeleye Stout,1,4,18,03/04/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10768,71,Flotemysost,4,12,"21.5",01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10355,24,Guarana Fantastica,1,25,"3.6",12/16/1994 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10558,51,Manjimup Dried Apples,7,20,53,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,11016,36,Inlagd Sill,8,16,19,05/10/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10453,70,Outback Lager,1,25,12,03/24/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10793,41,Jack's New England Clam Chowder,8,14,"9.65",01/24/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10383,13,Konbu,8,20,"4.8",01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10558,73,Rod Kaviar,8,3,15,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10743,46,Spegesild,8,28,12,12/18/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10707,70,Outback Lager,1,28,15,11/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10768,31,Gorgonzola Telino,4,50,"12.5",01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,120 Hanover Sq.,(171) 555-7788,(171) 555-6750,10707,55,Pate chinois,6,21,24,11/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,Berguvsvagen  8,0921-12 34 65,0921-12 34 67,10384,60,Camembert Pierrot,4,15,"27.2",01/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,Berguvsvagen  8,0921-12 34 65,0921-12 34 67,10857,26,Gumbar Gummibarchen,3,35,"31.23",02/28/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,Berguvsvagen  8,0921-12 34 65,0921-12 34 67,10572,75,Rhonbrau Klosterbier,1,15,"7.75",07/19/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,Berguvsvagen  8,0921-12 34 65,0921-12 34 67,10280,55,Pate chinois,6,20,"19.2",09/14/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,Berguvsvagen  8,0921-12 34 65,0921-12 34 67,10857,3,Aniseed Syrup,2,30,10,02/28/1996 0:00:00
