SaleID(Integer),SaleDate(DateTime),StoreName(String),Address1(String),Address2(String),City(String),Region(String),PostalCode(String),Country(String),Manager(String),Phone1(String),CustomerName(String),AccountNumber(String),ProductID(Integer),Quantity(Integer),Price(Float),Discount(Float),StorePrice(Float),Title(String),Media(String),TaxPercent(Float)
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1021,4,17.49,0,8.49,The Graduate ,VHS,6.5
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1309,1,21.49,0,19.49,The Lion King ,VHS,6.5
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1393,1,19.49,0,10.49,The First Wives Club ,VHS,6.5
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1504,1,20.45,0,8.45,Toy Story 2 ,VHS,6.5
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1507,1,19.45,0,6.45,The Mummy ,VHS,6.5
1000,1/1/2004 12:00:00 AM,Store #1002,2326 W. June Street,,Issaquah,WA,10089,USA,M. Stephen Nuckolls,697-555-7548,M. Stephen Nuckolls,4546703088,1788,1,21.99,0.0299999993294477,15.99,"I, Robot ",DVD,6.5
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1114,1,19.49,0,11.49,Gremlins ,VHS,14
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1147,1,16.49,0,6.49,Fatal Attraction ,LaserDisc,14
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1167,1,23.49,0,12.49,Big ,VHS,14
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1416,2,15.49,0,5,Liar Liar ,LaserDisc,14
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1568,1,23.45,0,16.45,Gone in Sixty Seconds ,LaserDisc,14
1001,1/3/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Jacinta Fiorini,198-555-8327,Jacinta Fiorini,4546703083,1793,1,13.45,0,12.45,Harry Potter and the Prisoner of Azkaban ,LaserDisc,14
1002,1/3/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Cora Yaple,227-555-7789,Cora Yaple,4546705264,1103,5,19.45,0,16.45,Tootsie ,LaserDisc,0
1002,1/3/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Cora Yaple,227-555-7789,Cora Yaple,4546705264,1117,1,18.49,0,9.49,Rocky IV ,VHS,0
1002,1/3/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Cora Yaple,227-555-7789,Cora Yaple,4546705264,1763,1,17.49,0,16.49,Elf ,LaserDisc,0
1003,1/4/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Peter Toto,198-555-8327,Peter Toto,4546704512,1777,1,14.49,0,10.49,The Incredibles ,VHS,14
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1112,1,15.49,0,8.49,Beverly Hills Cop ,VHS,0
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1142,1,22.45,0,16.45,Beverly Hills Cop II ,VHS,0
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1414,1,15.95,0,5,Liar Liar ,DVD,0
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1480,1,19.45,0,10.45,Lethal Weapon 4 ,VHS,0
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1665,1,19.49,0.0399999991059303,15.49,Die Another Day ,VHS,0
1004,1/6/2004 12:00:00 AM,Store #1006,41602 Deer Street,,W. Linn,OR,10902,USA,Warren Vittetoe,227-555-7789,Warren Vittetoe,4546704052,1722,1,22.45,0,10.45,Cheaper by the Dozen ,LaserDisc,0
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1119,1,20.95,0,17.95,Rambo: First Blood Part II ,DVD,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1122,1,18.95,0,14.95,Back to the Future ,DVD,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1150,3,16.45,0,8.45,"Good Morning, Vietnam ",LaserDisc,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1181,2,22.99,0,12.99,Look Who's Talking ,DVD,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1209,1,17.45,0,10.45,Die Hard 2 ,VHS,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1488,1,14.45,0,5.45,Big Daddy ,LaserDisc,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1650,1,15.49,0,11.49,xXx ,LaserDisc,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1684,1,23.45,0,18.45,Chicago ,VHS,14
1005,1/7/2004 12:00:00 AM,Store #1003,1952 Balsam Ave.,,Ladner,BC,10256,Canada,Troilus Cearley,141-555-0886,Troilus Cearley,4546703729,1702,1,22.45,0,7.45,Bruce Almighty ,VHS,14
1006,1/8/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Shannon Yetter,198-555-8327,Shannon Yetter,4546705161,1031,1,24.99,0,22.99,The Godfather ,DVD,14
1006,1/8/2004 12:00:00 AM,Store #1005,2806 N. Midway Way,,Oak Bay,BC,10601,Canada,Shannon Yetter,198-555-8327,Shannon Yetter,4546705161,1055,1,17.49,0,13.49,Close Encounters of the Third Kind ,LaserDisc,14
